race_id,Track,Driver,Lap Time,Starting Position,finished,aero,Power,grip,reliability,pit time,overtaking,defending,consistency,fuel_mgt,tire_mgt,wet_ability,wet qualifying,win,wet race laps,setup_id,BOOST,pit stops
1283,Baku,Verstappen,36.754,22,9,42,86,71,38,6.06,57,37,39,72,15,66,FALSE,No,FALSE,28,,2
1283,Baku,Hulkenberg,36.721,20,13,42,86,71,38,6.06,64,72,24,12,70,61,FALSE,No,FALSE,28,,2
1282,Brazil,Hulkenberg,28.396,20,6,42,86,71,38,6.06,64,72,24,12,70,61,FALSE,No,FALSE,28,,1
1282,Brazil,Verstappen,28.064,16,13,42,86,71,38,6.06,57,37,39,72,15,66,FALSE,No,FALSE,28,,2
1281,Russia,Hulkenberg,39.487,17,11,42,86,71,38,6.06,64,72,24,12,70,61,FALSE,Yes,FALSE,28,,2
1281,Russia,Verstappen,39.131,13,2,42,86,71,38,6.06,57,37,39,72,15,66,FALSE,Yes,FALSE,28,,2
1280,Brazil,Verstappen,28.061,17,11,42,86,71,38,6.06,57,37,39,72,15,66,FALSE,Yes,FALSE,28,,2
1280,Brazil,Hulkenberg,28.108,18,8,42,86,71,38,6.06,64,72,24,12,70,61,FALSE,Yes,FALSE,28,,1
1279,Yas Marina,Hulkenberg,32.923,19,3,57,85,45,52,4.33,64,72,24,12,70,61,FALSE,Yes,FALSE,27,,2
1279,Yas Marina,Verstappen,32.386,13,1,57,85,45,52,4.33,57,37,39,72,15,66,FALSE,Yes,FALSE,27,,2
1278,Bahrain,Hulkenberg,34.866,15,7,57,85,45,52,4.33,64,72,24,12,70,61,FALSE,Yes,FALSE,27,,2
1278,Bahrain,Verstappen,34.88,6,3,57,85,45,52,4.33,57,37,39,72,15,66,FALSE,Yes,FALSE,27,,2
1277,Bahrain,Verstappen,35.12,21,8,57,85,45,52,4.33,57,37,39,72,15,66,FALSE,Yes,FALSE,27,,2
1277,Bahrain,Hulkenberg,34.576,12,2,57,85,45,52,4.33,64,72,24,12,70,61,FALSE,Yes,FALSE,27,,2
1276,USA,Verstappen,38.66,21,5,57,85,45,52,4.33,57,37,39,72,15,66,FALSE,Yes,FALSE,27,,2
1276,USA,Hulkenberg,37.962,15,11,57,85,45,52,4.33,64,72,24,12,70,61,FALSE,Yes,FALSE,27,,2
1275,USA,Hulkenberg,38.626,22,6,57,85,45,52,4.33,64,72,24,12,70,61,FALSE,Yes,FALSE,27,,2
1275,USA,Verstappen,37.862,13,3,57,85,45,52,4.33,57,37,39,72,15,66,FALSE,Yes,FALSE,27,,2
1274,Yas Marina,Perez,31.848,6,4,57,85,45,52,4.33,57,64,93,58,95,95,FALSE,Yes,FALSE,27,,2
1274,Yas Marina,Bottas,31.872,8,2,57,85,45,52,4.33,43,33,95,92,95,41,FALSE,Yes,FALSE,27,,2
1273,USA,Perez,37.317,5,3,57,85,45,52,4.33,57,64,93,58,95,95,FALSE,Yes,FALSE,27,,2
1273,USA,Bottas,37.382,6,1,57,85,45,52,4.33,43,33,95,92,95,41,FALSE,Yes,FALSE,27,,2
1272,USA,Bottas,37325,7,4,57,85,45,52,4.33,43,33,95,92,95,41,FALSE,Yes,FALSE,27,,2
1272,USA,Perez,37.272,5,1,57,85,45,52,4.33,57,64,93,58,95,95,FALSE,Yes,FALSE,27,,2
1271,USA,Bottas,35.704,8,2,57,85,45,52,4.33,43,33,95,92,95,41,FALSE,Yes,FALSE,27,,2
1271,USA,Perez,36.641,7,1,57,85,45,52,4.33,57,64,93,58,95,95,FALSE,Yes,FALSE,27,,2
1270,USA,Bottas,37.407,11,5,57,85,45,52,4.33,43,33,95,92,95,41,FALSE,No,FALSE,27,,2
1270,USA,Perez,37.398,10,3,57,85,45,52,4.33,57,64,93,58,95,95,FALSE,No,FALSE,27,,2
1269,Bahrain,Bottas,34.087,5,2,57,85,45,52,4.33,43,33,95,92,95,41,FALSE,Yes,FALSE,27,,1
1269,Bahrain,Perez,34.166,7,1,57,85,45,52,4.33,57,64,93,58,95,95,FALSE,Yes,FALSE,27,,2
1268,Bahrain,Bottas,34.093,8,2,57,85,45,52,4.33,43,33,95,92,95,41,FALSE,Yes,FALSE,27,,2
1268,Bahrain,Perez,34.127,9,1,57,85,45,52,4.33,57,64,93,58,95,95,FALSE,Yes,FALSE,27,,2
1267,Bahrain,Perez,34.047,3,1,57,85,45,52,4.33,57,64,93,58,95,95,FALSE,Yes,FALSE,27,,2
1267,Bahrain,Bottas,34.098,5,2,57,85,45,52,4.33,43,33,95,92,95,41,FALSE,Yes,FALSE,27,,2
1266,USA,Bottas,37.351,9,1,57,85,45,52,4.33,43,33,95,92,95,41,FALSE,Yes,FALSE,27,,2
1266,USA,Perez,37.277,7,3,57,85,45,52,4.33,57,64,93,58,95,95,FALSE,Yes,FALSE,27,,2
1265,USA,Perez,37.349,7,1,57,85,45,52,4.33,57,64,93,58,95,95,FALSE,Yes,FALSE,27,,2
1265,USA,Bottas,37.353,8,4,57,85,45,52,4.33,43,33,95,92,95,41,FALSE,Yes,FALSE,27,,2
1264,Monaco,Perez,36.747,6,1,57,85,45,52,4.33,57,64,93,58,95,95,TRUE,Yes,FALSE,27,,1
1264,Monaco,Bottas,37.932,15,8,57,85,45,52,4.33,43,33,95,92,95,41,TRUE,Yes,FALSE,27,,1
1263,Austria,Perez,29.921,5,5,48,91,35,58,4.41,57,64,93,58,95,95,TRUE,Yes,FALSE,26,,2
1263,Austria,Grosjean,32.021,4,3,48,91,35,58,4.41,85,65,63,77,90,90,TRUE,Yes,FALSE,26,,1
1263,Austria,Grosjean,32.021,4,3,48,91,35,58,4.41,85,65,63,77,90,90,TRUE,Yes,FALSE,26,,2
1263,Austria,Perez,29.921,5,5,48,91,35,58,4.41,57,64,93,58,95,95,TRUE,Yes,FALSE,26,,1
1262,United Kingdom,Perez,34.895,8,1,48,91,35,58,4.41,57,64,93,58,95,95,FALSE,Yes,TRUE,26,,2
1262,United Kingdom,Grosjean,35.437,17,2,48,91,35,58,4.41,85,65,63,77,90,90,FALSE,Yes,TRUE,26,,2
1261,United Kingdom,Grosjean,35.403,16,2,48,91,35,58,4.41,85,65,63,77,90,90,FALSE,Yes,FALSE,26,,2
1261,United Kingdom,Perez,34.938,6,1,48,91,35,58,4.41,57,64,93,58,95,95,FALSE,Yes,FALSE,26,,2
1260,Belgium,Perez,41.185,8,2,48,91,35,58,4.41,57,64,93,58,95,95,FALSE,Yes,FALSE,26,,2
1260,Belgium,Grosjean,41.682,13,4,48,91,35,58,4.41,85,65,63,77,90,90,FALSE,Yes,FALSE,26,,2
1259,Belgium,Grosjean,41.633,14,5,48,91,35,58,4.41,85,65,63,77,90,90,FALSE,Yes,TRUE,26,,2
1259,Belgium,Perez,41.245,8,1,48,91,35,58,4.41,57,64,93,58,95,95,FALSE,Yes,TRUE,26,,2
1258,Monaco,Grosjean,33.018,11,6,48,91,35,58,4.41,85,65,63,77,90,90,FALSE,Yes,TRUE,26,,1
1258,Monaco,Perez,32.948,9,1,48,91,35,58,4.41,57,64,93,58,95,95,FALSE,Yes,TRUE,26,,1
1257,United Kingdom,Stroll,40.381,14,4,48,91,35,58,4.41,67,54,39,62,72,42,TRUE,Yes,TRUE,26,,2
1257,United Kingdom,Bottas,40.184,12,2,48,91,35,58,4.41,43,33,95,92,95,41,TRUE,Yes,TRUE,26,,2
1256,Austria,Stroll,29.017,9,2,48,91,35,58,4.41,67,54,39,62,72,42,FALSE,Yes,TRUE,26,,1
1256,Austria,Bottas,28.971,7,1,48,91,35,58,4.41,43,33,95,92,95,41,FALSE,Yes,TRUE,26,,1
1256,Austria,Stroll,29.017,9,2,48,91,35,58,4.41,67,54,39,62,72,42,FALSE,Yes,TRUE,26,,2
1255,Austria,Stroll,30.01,21,8,48,91,35,58,4.41,67,54,39,62,72,42,FALSE,Yes,FALSE,26,,1
1255,Austria,Bottas,28.998,8,1,48,91,35,58,4.41,43,33,95,92,95,41,FALSE,Yes,FALSE,26,,1
1254,Baku,Stroll,36.617,17,6,48,91,35,58,4.41,67,54,39,62,72,42,FALSE,Yes,FALSE,26,,2
1254,Baku,Bottas,35.797,10,3,48,91,35,58,4.41,43,33,95,92,95,41,FALSE,Yes,FALSE,26,,2
1253,Austria,Bottas,28.968,7,1,48,91,35,58,4.41,43,33,95,92,95,41,FALSE,Yes,FALSE,26,,1
1253,Austria,Stroll,29.598,19,3,48,91,35,58,4.41,67,54,39,62,72,42,FALSE,Yes,FALSE,26,,1
1252,Belgium,Stroll,48.687,13,4,48,91,35,58,4.41,67,54,39,62,72,42,TRUE,Yes,FALSE,26,,1
1252,Belgium,Bottas,47.452,11,1,48,91,35,58,4.41,43,33,95,92,95,41,TRUE,Yes,FALSE,26,,2
1251,Belgium,Bottas,41.181,5,1,48,91,35,58,4.41,43,33,95,92,95,41,FALSE,Yes,TRUE,26,,2
1251,Belgium,Stroll,41.722,13,5,48,91,35,58,4.41,67,54,39,62,72,42,FALSE,Yes,TRUE,26,,2
1250,Hungary,Perez,32.86,3,1,72,87,58,75,2.84,57,64,93,58,95,95,TRUE,Yes,FALSE,7,,1
1250,Hungary,Bottas,33.938,11,5,72,87,58,75,2.84,43,33,95,92,95,41,TRUE,Yes,FALSE,7,,1
1249,Hungary,Perez,29.524,4,2,72,87,58,75,2.84,57,64,93,58,95,95,FALSE,Yes,FALSE,7,,1
1249,Hungary,Bottas,29.484,3,1,72,87,58,75,2.84,43,33,95,92,95,41,FALSE,Yes,FALSE,7,,1
1248,Spain,Perez,29.2,3,1,72,87,58,75,2.84,57,64,93,58,95,95,FALSE,Yes,FALSE,7,,1
1248,Spain,Bottas,29.23,4,2,72,87,58,75,2.84,43,33,95,92,95,41,FALSE,Yes,FALSE,7,,1
1247,Spain,Bottas,29.231,6,2,72,87,58,75,2.84,43,33,95,92,95,41,FALSE,Yes,FALSE,7,,1
1247,Spain,Perez,29.188,4,1,72,87,58,75,2.84,57,64,93,58,95,95,FALSE,Yes,FALSE,7,,1
1246,Baku,Bottas,35.529,6,1,72,87,58,75,2.84,43,33,95,92,95,41,FALSE,Yes,FALSE,7,,2
1246,Baku,Perez,35.468,4,2,72,87,58,75,2.84,57,64,93,58,95,95,FALSE,Yes,FALSE,7,,2
1245,Spain,Bottas,29.204,4,2,72,87,58,75,2.84,43,33,95,92,95,41,FALSE,Yes,FALSE,7,,2
1245,Spain,Perez,29.157,1,1,72,87,58,75,2.84,57,64,93,58,95,95,FALSE,Yes,FALSE,7,,1
1244,Singapore,Bottas,43.436,7,2,72,87,58,75,2.84,43,33,95,92,95,41,FALSE,Yes,FALSE,7,,2
1244,Singapore,Perez,43.373,4,1,72,87,58,75,2.84,57,64,93,58,95,95,FALSE,Yes,FALSE,7,,1
1243,Hungary,Bottas,33.874,12,4,72,87,58,75,2.84,43,33,95,92,95,41,TRUE,Yes,TRUE,7,,1
1243,Hungary,Perez,34.203,1,1,72,87,58,75,2.84,57,64,93,58,95,95,TRUE,Yes,TRUE,7,,1
1242,Singapore,Perez,43.441,6,3,72,87,58,75,2.84,57,64,93,58,95,95,FALSE,Yes,FALSE,7,,1
1242,Singapore,Bottas,43.428,5,1,72,87,58,75,2.84,43,33,95,92,95,41,FALSE,Yes,FALSE,7,,2
1241,Spain,Perez,29.149,2,1,72,87,58,75,2.84,57,64,93,58,95,95,FALSE,Yes,FALSE,7,,1
1241,Spain,Bottas,29.232,5,2,72,87,58,75,2.84,43,33,95,92,95,41,FALSE,Yes,FALSE,7,,2
1240,Spain,Verstappen,30.435,24,6,72,87,58,75,2.84,57,37,39,72,15,66,FALSE,Yes,FALSE,7,,2
1240,Spain,Hulkenberg,29.329,6,1,72,87,58,75,2.84,64,72,24,12,70,61,FALSE,Yes,FALSE,7,,1
1239,Hungary,Verstappen,30.808,22,7,72,87,58,75,2.84,57,37,39,72,15,66,FALSE,Yes,TRUE,7,,2
1239,Hungary,Hulkenberg,29.986,9,2,72,87,58,75,2.84,64,72,24,12,70,61,FALSE,Yes,TRUE,7,,1
1238,Hungary,Verstappen,34.228,10,2,72,87,58,75,2.84,57,37,39,72,15,66,TRUE,Yes,FALSE,7,,2
1238,Hungary,Hulkenberg,34.089,23,5,72,87,58,75,2.84,64,72,24,12,70,61,TRUE,Yes,FALSE,7,,1
1237,Hungary,Verstappen,30.816,22,5,72,87,58,75,2.84,57,37,39,72,15,66,FALSE,Yes,FALSE,7,,2
1237,Hungary,Hulkenberg,29.744,8,2,72,87,58,75,2.84,64,72,24,12,70,61,FALSE,Yes,FALSE,7,,1
1236,Singapore,Hulkenberg,44.19,14,3,72,87,58,75,2.84,64,72,24,12,70,61,FALSE,Yes,FALSE,7,,2
1236,Singapore,Verstappen,44.233,15,2,72,87,58,75,2.84,57,37,39,72,15,66,FALSE,Yes,FALSE,7,,2
1235,France,Hulkenberg,37.565,12,1,72,87,58,75,2.84,64,72,24,12,70,61,FALSE,Yes,FALSE,7,,2
1235,France,Verstappen,38.487,22,5,72,87,58,75,2.84,57,37,39,72,15,66,FALSE,Yes,FALSE,7,,2
1234,France,Kubica,36.981,5,1,72,87,58,75,2.84,90,66,32,36,84,67,FALSE,Yes,FALSE,7,,2
1234,France,Sainz,37.106,10,2,72,87,58,75,2.84,100,90,48,96,52,76,FALSE,Yes,FALSE,7,,2
1233,Monaco,Sainz,33.416,17,6,72,87,58,75,2.84,100,90,48,96,52,76,FALSE,Yes,TRUE,7,,1
1233,Monaco,Kubica,32.802,6,1,72,87,58,75,2.84,90,66,32,36,84,67,FALSE,Yes,TRUE,7,,1
1232,Monaco,Kubica,33.238,15,6,72,87,58,75,2.84,90,66,32,36,84,67,FALSE,No,FALSE,7,,1
1232,Monaco,Sainz,33.321,17,8,72,87,58,75,2.84,100,90,48,96,52,76,FALSE,No,FALSE,7,,1
1231,Germany,Kubica,30.742,21,5,77,88,66,61,3.94,90,66,32,36,84,67,FALSE,Yes,FALSE,2,,1
1231,Germany,Sainz,30.066,8,2,77,88,66,61,3.94,100,90,48,96,52,76,FALSE,Yes,FALSE,2,,1
1230,Baku,Sainz,36.033,14,1,77,88,66,61,3.94,100,90,48,96,52,76,FALSE,Yes,FALSE,2,,2
1230,Baku,Kubica,36.327,18,5,77,88,66,61,3.94,90,66,32,36,84,67,FALSE,Yes,FALSE,2,,2
1229,Germany,Bottas,29.823,4,1,54,84,77,51,5.2,43,33,95,92,95,41,FALSE,Yes,FALSE,25,,1
1229,Germany,Leclerc,29.744,3,2,54,84,77,51,5.2,67,70,90,100,64,44,FALSE,Yes,FALSE,25,,1
1228,Italy,Bottas,32.292,3,1,54,84,77,51,5.2,43,33,95,92,95,41,FALSE,Yes,FALSE,25,,2
1228,Italy,Leclerc,32.108,1,2,54,84,77,51,5.2,67,70,90,100,64,44,FALSE,Yes,FALSE,25,,2
1227,Baku,Leclerc,35.683,7,1,54,84,77,51,5.2,67,70,90,100,64,44,FALSE,Yes,FALSE,25,,2
1227,Baku,Bottas,35.615,9,3,54,84,77,51,5.2,43,33,95,92,95,41,FALSE,Yes,FALSE,25,,2
1226,Italy,Bottas,32.209,3,1,54,84,77,51,5.2,43,33,95,92,95,41,FALSE,Yes,FALSE,25,,2
1226,Italy,Leclerc,32.194,2,2,54,84,77,51,5.2,67,70,90,100,64,44,FALSE,Yes,FALSE,25,,2
1225,Germany,Leclerc,29.763,3,3,54,84,77,51,5.2,67,70,90,100,64,44,FALSE,No,FALSE,25,,1
1225,Germany,Bottas,29.782,5,2,54,84,77,51,5.2,43,33,95,92,95,41,FALSE,No,FALSE,25,,1
1224,Monaco,Leclerc,32.853,6,4,54,84,77,51,5.2,67,70,90,100,64,44,FALSE,Yes,FALSE,25,,1
1224,Monaco,Bottas,32.874,7,3,54,84,77,51,5.2,43,33,95,92,95,41,FALSE,Yes,FALSE,25,,1
1223,Canada,Bottas,28.633,5,2,54,84,77,51,5.2,43,33,95,92,95,41,FALSE,Yes,FALSE,25,,1
1223,Canada,Leclerc,28.469,1,1,54,84,77,51,5.2,67,70,90,100,64,44,FALSE,Yes,FALSE,25,,1
1222,Singapore,Perez,43.499,10,6,74,84,68,57,4.09,57,64,93,58,95,95,FALSE,Yes,FALSE,24,,2
1222,Singapore,Leclerc,43.455,9,1,74,84,68,57,4.09,67,70,90,100,64,44,FALSE,Yes,FALSE,24,,2
1221,Monaco,Perez,32.871,11,3,74,84,68,57,4.09,57,64,93,58,95,95,FALSE,Yes,FALSE,24,,1
1221,Monaco,Leclerc,32.799,8,5,74,84,68,57,4.09,67,70,90,100,64,44,FALSE,Yes,FALSE,24,,1
1220,Monaco,Leclerc,32.707,4,2,74,84,68,57,4.09,67,70,90,100,64,44,FALSE,,TRUE,24,,1
1220,Monaco,Perez,32.784,9,4,74,84,68,57,4.09,57,64,93,58,95,95,FALSE,,TRUE,24,,1
1219,Monaco,Perez,32.77,7,3,74,84,68,57,4.09,57,64,93,58,95,95,FALSE,No,TRUE,24,,1
1219,Monaco,Leclerc,32.648,4,4,74,84,68,57,4.09,67,70,90,100,64,44,FALSE,No,TRUE,24,,1
1218,Singapore,Leclerc,43.424,5,1,74,84,68,57,4.09,67,70,90,100,64,44,FALSE,Yes,FALSE,24,,2
1218,Singapore,Perez,43.504,8,3,74,84,68,57,4.09,57,64,93,58,95,95,FALSE,Yes,FALSE,24,,1
1217,Baku,Perez,35.618,8,3,74,84,68,57,4.09,57,64,93,58,95,95,FALSE,Yes,FALSE,24,,2
1217,Baku,Leclerc,35.423,5,1,74,84,68,57,4.09,67,70,90,100,64,44,FALSE,Yes,FALSE,24,,2
1216,Monaco,Perez,32.775,8,1,74,84,68,57,4.09,57,64,93,58,95,95,FALSE,Yes,FALSE,24,,1
1216,Monaco,Leclerc,32.693,5,2,74,84,68,57,4.09,67,70,90,100,64,44,FALSE,Yes,FALSE,24,,1
1215,Singapore,Perez,43.412,5,2,77,84,68,54,3.6,57,64,93,58,95,95,FALSE,Yes,TRUE,4,,1
1215,Singapore,Grosjean,43.9,11,3,77,84,68,54,3.6,85,65,63,77,90,90,FALSE,Yes,TRUE,4,,1
1214,Singapore,Grosjean,43.896,11,0,77,84,68,54,3.6,85,65,63,77,90,90,FALSE,,TRUE,4,,1
1214,Singapore,Perez,43.573,9,0,77,84,68,54,3.6,57,64,93,58,95,95,FALSE,,TRUE,4,,1
1213,Singapore,Leclerc,43.641,8,6,54,89,75,52,5.44,67,70,90,100,64,44,FALSE,Yes,FALSE,23,,1
1213,Singapore,Perez,43.677,10,7,54,89,75,52,5.44,57,64,93,58,95,95,FALSE,Yes,FALSE,23,,1
1212,Singapore,Leclerc,43.516,7,2,54,89,75,52,5.44,67,70,90,100,64,44,FALSE,Yes,FALSE,23,,2
1212,Singapore,Perez,43.609,10,7,54,89,75,52,5.44,57,64,93,58,95,95,FALSE,Yes,FALSE,23,,1
1211,Baku,Leclerc,35.496,7,5,54,89,75,52,5.44,67,70,90,100,64,44,FALSE,No,FALSE,23,,3
1211,Baku,Perez,35.632,12,2,54,89,75,52,5.44,57,64,93,58,95,95,FALSE,No,FALSE,23,,2
1210,Singapore,Perez,43.441,8,3,84,86,58,62,4.05,57,64,93,58,95,95,FALSE,Yes,FALSE,22,,1
1210,Singapore,Leclerc,43.275,4,4,84,86,58,62,4.05,67,70,90,100,64,44,FALSE,Yes,FALSE,22,,2
1209,Monaco,Magnussen,33.421,16,7,84,86,58,62,4.05,79,96,36,88,68,79,FALSE,No,FALSE,22,,1
1209,Monaco,Vettel,32.801,9,4,84,86,58,62,4.05,68,92,58,79,80,43,FALSE,No,FALSE,22,,2
1208,Baku,Magnussen,35.455,6,3,75,90,58,53,4.57,79,96,36,88,68,79,FALSE,No,FALSE,21,,2
1208,Baku,Vettel,35.593,11,5,75,90,58,53,4.57,68,92,58,79,80,43,FALSE,No,FALSE,21,,2
1207,Singapore,Magnussen,44.281,15,2,75,90,58,53,4.57,79,96,36,88,68,79,FALSE,Yes,FALSE,21,,2
1207,Singapore,Vettel,43.678,9,1,75,90,58,53,4.57,68,92,58,79,80,43,FALSE,Yes,FALSE,21,,2
1206,Monaco,Vettel,33.156,11,8,75,90,58,53,4.57,68,92,58,79,80,43,FALSE,No,FALSE,21,,2
